typo	replace
adnroid	android
adroid	android
andoid	android
andorid	android
androi	android
anroid	android
droid	android
aiphon	iphone
aiphone	iphone
aple	apple
appel	apple
asuck	asus
bbry	blackberry
blackckberry	blackberry
blackbery	blackberry
btuetooth	bluetooth
bluethooth	bluetooth
bluetouth	bluetooth
blutoot	bluetooth
blutooth	bluetooth
chịná	china
chíp	chip
contac	contact
conect	connect
dowload	download
dùngvaà	dùng và
đagn	đang
điiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii	đi
đọv	đọc
đứnghoài	đứng hoài
expnsive	expensive
fim	film
formart	format
galaaxy	galaxy
gảmin	gaming
giiwf	giờ
glaxy	galaxy
huwaei	huawei    
huwei	huawei
iclound	icloud
ifone	iphone
ihone	iphone
ipnone	iphone
kkkkkkkkkkkkk	kk
kkkkkkk	kk
kkk	kk
kkhác	khác
martphone	smartphone
mesage	message
messege	message
messgenser	messenger
microlap	microlab
môbistar	mobiistar
mobillestar	mobiistar
mobista	mobiistar
mobistar	mobiistar
mobitsar	mobiistar
mobittar	mobiistar
niceeeeeeeeeeeeeeeee	nice
nókìa	nokia
qualcom	qualcomm
reciever	receiver
reciver	receiver
retine	retina
romosst	romoss
rồigiá	rồi giá
saerch	search
sámung	samsung
singapor	singapore
smatphon	smartphone
solfware	software
soni	sony
sorri	sorry
úb	usb
wiffi	wifi
wìi	wifi
triêu	triệu
window	windows
windown	windows
windowphone	windowsphone
windophon	windowsphone
zefnone	zenfone
zènone	zenfone
